PID,Status,Address,Subdivision,# Bedrooms,# Baths,# Rooms,Fin SF,List Price,Sales Price,Days On Market
754-764-6046,CLOSD,4802 Meredith Woods RD,Meredith Woods,4,2.1,8,1825,164950,165000,27
755-764-7741,CLOSD,4920 Meredith Woods RD,Meredith Woods,4,2.1,11,1954,244950,244950,12
754-765-8344,CLOSD,9704 Timber PASS,Bridgewood,3,1.1,7,1520,107900,110000,12
755-765-0931,CLOSD,5001 Broad Meadows RD,Bridgewood,3,1,5,1188,109270,109270,8
754-765-9220,CLOSD,9705 Timber PASS,Bridgewood,3,1.1,6,1422,124000,102000,69
754-765-7614,CLOSD,9708 Needles Way,Bridgewood,3,1.1,5,1362,129950,131500,6
755-765-8435,CLOSD,9601 Country Way RD,Country Meadows,3,2,6,1244,129950,129950,1
755-763-7085,CLOSD,9502 Broad Meadows RD,Meredith Woods,3,2,6,1530,134500,155000,132
754-764-7533,CLOSD,4807 Meredith Woods RD,Meredith Woods,4,2.1,8,1872,134640,145400,22
754-765-8889,CLOSD,9714 Country Way RD,Country Meadows,3,2.1,6,1500,134950,138250,7
754-766-7514,CLOSD,9732 Country Way RD,Country Meadows,3,2,5,1164,134950,134950,12
755-765-0106,CLOSD,9700 Needles WAY,Bridgewood,3,1.1,6,1362,135000,132500,5
755-765-2275,CLOSD,5015 Broad Meadows RD,Country Meadows,3,2.1,6,1500,139000,139000,7
755-764-5325,CLOSD,4915 Meredith Woods RD,Meredith Woods,3,2,6,1344,139950,139950,9
755-763-3484,CLOSD,9503 Broad Meadows RD,Meredith Woods,3,2,6,1530,139950,141000,6
755-764-5921,CLOSD,4917 Meredith Woods RD,Meredith Woods,4,2.1,6,1560,148500,150000,60
755-765-0106,CLOSD,9700 Needles WAY,Bridgewood,3,1.1,6,1416,149900,143000,111
755-765-1039,CLOSD,5003 Broad Meadows RD,Bridgewood,3,2,5,1120,149900,148000,19
754-765-6450,CLOSD,9710 Timber PASS,Bridgewood,3,2.1,7,2034,149950,149950,34
754-765-3275,CLOSD,4512 Woodshire PL,The Woods At Innsbrook,3,2.1,6,0,149950,149950,8
755-764-9036,CLOSD,4924 Meredith Woods RD,Meredith Woods,3,2.1,7,1560,149950,149950,32
754-765-9918,CLOSD,9703 Timber Pass,Bridgewood,4,2,8,1860,149950,148000,43
755-765-7620,CLOSD,5007 Eddings DR,Bridgewood,3,2,6,1696,149950,147950,25
756-764-0191,CLOSD,9510 Timber Pass PASS,Bridgewood,3,2,7,1580,149950,150000,5
755-765-7140,CLOSD,9605 Country Way RD,Country Meadows,3,2,5,1016,149950,153000,6
755-764-7266,CLOSD,4903 Cord CT,Bridgewood,3,1.1,6,1520,151950,152000,3
755-765-3255,CLOSD,9617 Country Way RD,Country Meadows,3,2,7,1548,152950,160000,5
755-764-7573,CLOSD,4905 Cord CT,Bridgewood,3,2.1,7,1804,154500,150000,23
754-764-9006,CLOSD,4807 Killington RD,Meredith Woods,3,2.1,7,1900,154900,152000,43
755-765-7626,CLOSD,5009 Eddings DR,Bridgewood,3,2,5,1120,154950,151500,9
755-764-8397,CLOSD,9516 Timber Pass PASS,Bridgewood,3,2.1,7,1667,157950,150000,13
754-765-5849,CLOSD,9712 Timber PASS,Bridgewood,3,3,7,1600,159950,168000,112
755-763-7678,CLOSD,9500 Broad Meadows RD,Meredith Woods,4,2,8,2300,159950,159950,17
754-764-7533,CLOSD,4807 Meredith Woods RD,Meredith Woods,4,2.1,8,1872,159950,162950,64
755-765-5435,CLOSD,5005 Tag PL,Bridgewood,3,2.1,6,1664,159950,161500,5
755-765-4168,CLOSD,5016 Broad Meadows RD,Country Meadows,3,2.1,6,1436,160000,160000,30
755-765-0978,CLOSD,5001 Country Way CT,Country Meadows,3,2.1,6,1440,160000,160000,10
754-764-3391,CLOSD,4433 Lumberjack LN,Woods At Innsbrook,3,2.1,6,1525,162000,121000,44
754-765-3275,CLOSD,4512 Woodshire PL,Woods At Innsbrook,3,2.1,6,1436,162050,160000,8
755-766-3211,CLOSD,5031 Broad Meadows RD,Hearthside Ridge,3,2.1,7,1708,162500,162500,102
754-764-0498,CLOSD,10605 Lumberjack CT,Woods At Innsbrook,3,2.1,7,1800,164500,167000,6
755-766-3103,CLOSD,5025 Broad Meadows RD,Hearthside Ridge,4,2,6,1796,164900,162000,8
754-764-6714,CLOSD,4804 Killington RD,Meredith Woods,4,2,6,1404,164950,170000,6
755-765-5964,CLOSD,9612 Country Way RD,Country Meadows,3,2,8,1480,165000,148000,384
754-764-6026,CLOSD,4803 Meredith Woods Road,Meredith Woods,3,2.1,8,2200,165950,165950,16
754-765-7614,CLOSD,9708 Needles WAY,Bridgewood,3,1.1,5,1362,167900,160500,101
754-764-3382,CLOSD,4429 Lumberjack LN,Woods At Innsbrook,3,2.1,7,1660,168000,150000,41
754-765-8623,CLOSD,9707 Timber PASS,Bridgewood,3,1.1,6,1362,169500,165000,37
754-764-8291,CLOSD,9705 Needles WAY,Bridgewood,3,2.1,7,1888,169500,169500,5
753-764-9596,CLOSD,10609 Lumberjack CT,Woods At Innsbrook,3,2.1,6,1472,169500,169500,6
754-765-5283,CLOSD,9721 Country Way RD,Country Meadows,3,2,6,1296,169500,168000,4
753-765-8445,CLOSD,10708 Timber PASS,Woods At Innsbrook,3,2.1,6,1560,169900,172000,7
754-764-3474,CLOSD,4425 Lumberjack LN,Woods At Innsbrook,3,2.1,7,1430,169900,164000,53
755-764-3433,CLOSD,4909 Meredith Woods RD,Meredith Woods,3,2.1,7,1824,169900,168500,14
756-764-0471,CLOSD,9509 Timber PASS,Bridgewood,3,2,6,1120,169900,165000,79
756-763-1163,CLOSD,4910 Snowshoe CT,Meredith Woods,4,2.1,7,1825,169950,165000,19
755-763-2372,CLOSD,4809 Round Top RD,Meredith Woods,3,1.1,7,1560,169950,169000,22
754-765-5513,CLOSD,9715 Needles WAY,Bridgewood,3,2.1,6,1664,169950,174950,42
754-765-7330,CLOSD,9712 Needles WAY,Bridgewood,3,2.2,6,1590,173750,175000,14
754-764-1496,CLOSD,4434 Lumberjack LN,Woods At Innsbrook,4,2.1,8,2088,174500,170000,16
754-764-8430,CLOSD,9515 Broad Meadows RD,Meredith Woods,3,2,7,1525,174900,166900,30
754-764-6026,CLOSD,4803 Meredith Woods RD,Meredith Woods,3,2.1,9,2124,174950,174950,5
755-763-1965,CLOSD,4807 Round Top Rd.,Meredith Woods,3,2,6,1488,174950,177500,9
754-763-5891,CLOSD,4801 Killington RD,Meredith Woods,3,2,6,1352,174950,175500,6
755-765-7140,CLOSD,9605 Country Way RD,Country Meadows,3,2,5,1016,175000,176000,60
755-764-7266,CLOSD,4903 Cord CT,Bridgewood,3,1.1,10,1520,176950,181950,2
753-765-9370,CLOSD,10609 Woodshire WAY,The Woods At Innsbrook,4,2.1,9,2190,177950,177950,4
754-765-3307,CLOSD,4441 Lumberjack LN,Woods At Innsbrook,3,2.1,8,2000,179000,180000,122
755-765-3852,CLOSD,9615 Country Way RD,Country Meadows,3,2.1,6,1586,179000,180000,23
755-765-1039,CLOSD,5003 Broad Meadows RD,Bridgewood,3,2,6,1120,179500,177500,82
754-765-2749,CLOSD,10604 Timber PASS,Woods At Innsbrook,3,2.1,6,1694,179900,179900,80
754-765-2859,CLOSD,4509 Woodshire PL,The Woods At Innsbrook,3,2.1,6,1694,179900,179900,3
753-764-9284,CLOSD,4404 Lumberjack LN,Woods At Innsbrook,4,2.1,8,1992,179950,179950,10
755-764-8995,CLOSD,9514 Timber PASS,Bridgewood,3,2.1,7,1616,180000,170000,57
754-764-6714,CLOSD,4804 Killington RD,Meredith Woods,4,2,6,1404,182500,174000,178
755-764-5077,CLOSD,4904 Tag PL,Bridgewood,3,2.1,7,1622,183950,180000,49
754-764-3382,CLOSD,4429 Lumberjack LN,The Woods At Innsbrook,3,2.1,7,1660,184000,179000,4
